data_id,region,data_state,account_status,purchasegroup,consumer_dob,chargeoff_age,working_age,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image,data_bal_total,chargeoff_date,chargeoff_date_bom,chargeoffamt,chargeoffamt_present,judgment_status,judgment_active,acct_post_judgment,judgment_date,days_between_chargeoff_and_judgment,judgment_amount,judgment_amount_present,chargeoff_precovid(2020-03-01),judgment_precovid(2020-03-01),total_transactions,num_payments,num_reversals,net_num_payments,sum_pay_amount,avg_pay_amount,min_pay_date,max_pay_date,payment_duration_days,avg_days_between_payments,avg_monthly_payment(duration>=365days),days_between_chargeoff_and_min_pay_date,days_between_chargeoff_and_max_pay_date,days_between_judgment_and_min_pay_date,days_between_judgment_and_max_pay_date,min_payment_within_5_years_of_chargeoff,closed_w_max_pmt_within_5_yrs_of_min_pmt,max_pmt_within_5_yrs_of_min_pmt_within_5_yrs_of_chargeoff
149191,northeast,NJ,Placement (3); Active,Dormant Judgment,01/01/1953,53,1,1,0,1,0,0,0,0,0,7786.87,2005-12,01/12/2005,,0,Active,1,1,29/07/2008,971,6181.25,1,1,1,,,,,,,,,,,,,,,,0,,
149256,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1971,35,1,1,1,1,1,0,0,1,1,8458.66,2005-08,01/08/2005,,0,Active,1,1,07/08/2007,736,5410.1,1,1,1,3,3,0,3,129.79,43.26333333,23/08/2010,23/08/2010,1,0,,1848,1848,1112,1112,0,0,
149385,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1932,74,0,1,1,1,0,0,0,0,1,18816.96,2006-05,01/05/2006,,0,Active,1,1,02/08/2006,93,8399.83,1,1,1,,,,,,,,,,,,,,,,0,,
149537,midwest,IL,Placement (3); Active,Dormant Judgment,01/01/1959,47,1,0,1,1,0,0,0,0,1,7879.39,2005-10,01/10/2005,,0,Active,1,1,18/09/2007,717,3143.92,1,1,1,,,,,,,,,,,,,,,,0,,
149719,northeast,NY,Placement (3); Active,Dormant Judgment,01/01/1974,31,1,0,1,1,0,0,0,1,1,20599.47,2005-05,01/05/2005,,0,Active,1,1,20/03/2006,323,8294.01,1,1,1,,,,,,,,,,,,,,,,0,,
150103,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1958,45,1,1,1,1,0,0,0,0,1,2178.07,2003-02,01/02/2003,,0,Active,1,1,06/10/2005,978,1139,1,1,1,,,,,,,,,,,,,,,,0,,
150169,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1965,38,1,1,1,1,0,0,1,1,1,9888.17,2002-08,01/08/2002,,0,Active,1,1,22/01/2007,1635,3903.62,1,1,1,,,,,,,,,,,,,,,,0,,
150233,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1967,36,1,0,1,1,0,0,0,1,1,21745.8,2003-06,01/06/2003,,0,Active,1,1,18/10/2005,870,9479.18,1,1,1,,,,,,,,,,,,,,,,0,,
150245,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1939,65,1,1,1,1,0,0,0,0,1,24821.6,2003-10,01/10/2003,,0,Active,1,1,15/05/2006,957,10982.04,1,1,1,,,,,,,,,,,,,,,,0,,
150386,midwest,IL,Closed (9); PIF,Dormant Judgment,01/01/1971,30,1,1,1,1,0,1,0,0,1,0,2001-04,01/04/2001,,0,Satisfied,0,1,21/12/2005,1725,1594.69,1,1,1,1,1,0,1,3641.95,3641.95,18/12/2019,18/12/2019,1,0,,6835,6835,5110,5110,0,1,
